Te_K,Tc_K,superheat_K,subcool_K,h1,h2s,h2,h3,Qe,Wc,COP,P1,P3
273.15,309.4,2.5,0,400055.2854,421925.5516,429215.6403,250845.7474,149209.538,29160.35491,5.116862892,320263.4909,918147.203
273.15,309.4,2.5,2.5,400055.2854,421925.5516,429215.6403,247174.9421,152880.3433,29160.35491,5.242746316,320263.4909,918147.203
273.15,309.4,2.5,5,400055.2854,421925.5516,429215.6403,243532.9786,156522.3068,29160.35491,5.367640664,320263.4909,918147.203
273.15,309.4,2.5,7.5,400055.2854,421925.5516,429215.6403,239918.526,160136.7594,29160.35491,5.491591578,320263.4909,918147.203
273.15,309.4,2.5,10,400055.2854,421925.5516,429215.6403,236330.3594,163724.926,29160.35491,5.614641061,320263.4909,918147.203
273.15,309.4,5,0,401492.2905,421526.5315,428204.6119,250845.7474,150646.543,26712.32142,5.639590086,349658.6079,918147.203
273.15,309.4,5,2.5,401492.2905,421526.5315,428204.6119,247174.9421,154317.3484,26712.32142,5.777010016,349658.6079,918147.203
273.15,309.4,5,5,401492.2905,421526.5315,428204.6119,243532.9786,157959.3119,26712.32142,5.913350226,349658.6079,918147.203
273.15,309.8166667,0,0,398603.4536,422588.527,430583.5514,251460.4524,147143.0012,31980.09777,4.601080407,292803.1823,928716.4317
273.15,309.8166667,0,2.5,398603.4536,422588.527,430583.5514,247784.7025,150818.7512,31980.09777,4.716019077,292803.1823,928716.4317
273.15,309.8166667,0,5,398603.4536,422588.527,430583.5514,244138.0275,154465.4261,31980.09777,4.830048591,292803.1823,928716.4317
273.15,309.8166667,0,7.5,398603.4536,422588.527,430583.5514,240519.0775,158084.3762,31980.09777,4.94321116,292803.1823,928716.4317
273.15,309.8166667,0,10,398603.4536,422588.527,430583.5514,236926.6108,161676.8428,31980.09777,5.055545609,292803.1823,928716.4317
273.15,309.8166667,2.5,0,400055.2854,422165.1051,429535.045,251460.4524,148594.833,29479.75965,5.040571389,320263.4909,928716.4317
273.15,309.8166667,2.5,2.5,400055.2854,422165.1051,429535.045,247784.7025,152270.5829,29479.75965,5.16525863,320263.4909,928716.4317
273.15,309.8166667,2.5,5,400055.2854,422165.1051,429535.045,244138.0275,155917.2579,29479.75965,5.288959605,320263.4909,928716.4317
273.15,309.8166667,2.5,7.5,400055.2854,422165.1051,429535.045,240519.0775,159536.2079,29479.75965,5.411720104,320263.4909,928716.4317
273.15,309.8166667,2.5,10,400055.2854,422165.1051,429535.045,236926.6108,163128.6746,29479.75965,5.533582247,320263.4909,928716.4317
273.15,309.8166667,5,0,401492.2905,421765.5088,428523.2482,251460.4524,150031.8381,27030.95775,5.550370782,349658.6079,928716.4317
273.15,309.8166667,5,2.5,401492.2905,421765.5088,428523.2482,247784.7025,153707.588,27030.95775,5.686353751,349658.6079,928716.4317
273.15,309.8166667,5,5,401492.2905,421765.5088,428523.2482,244138.0275,157354.263,27030.95775,5.821261106,349658.6079,928716.4317
273.15,309.8166667,5,7.5,401492.2905,421765.5088,428523.2482,240519.0775,160973.213,27030.95775,5.955142785,349658.6079,928716.4317
273.15,310.2333333,0,0,398603.4536,422827.9718,430902.8111,252076.0055,146527.4481,32299.3575,4.53654374,292803.1823,939376.7559
273.15,310.2333333,0,2.5,398603.4536,422827.9718,430902.8111,248395.2702,150208.1834,32299.3575,4.650500661,292803.1823,939376.7559
273.15,310.2333333,0,5,398603.4536,422827.9718,430902.8111,244743.8463,153859.6074,32299.3575,4.763550091,292803.1823,939376.7559
273.15,310.2333333,0,7.5,398603.4536,422827.9718,430902.8111,241120.3644,157483.0892,32299.3575,4.875734424,292803.1823,939376.7559
273.15,310.2333333,0,10,398603.4536,422827.9718,430902.8111,237523.5658,161079.8878,32299.3575,4.987092631,292803.1823,939376.7559
273.15,310.2333333,2.5,0,400055.2854,422403.9407,429853.4925,252076.0055,147979.2799,29798.20706,4.966046432,320263.4909,939376.7559
273.15,310.2333333,2.5,2.5,400055.2854,422403.9407,429853.4925,248395.2702,151660.0152,29798.20706,5.089568473,320263.4909,939376.7559
273.15,310.2333333,2.5,5,400055.2854,422403.9407,429853.4925,244743.8463,155311.4391,29798.20706,5.21210685,320263.4909,939376.7559
273.15,310.2333333,2.5,7.5,400055.2854,422403.9407,429853.4925,241120.3644,158934.921,29798.20706,5.333707518,320263.4909,939376.7559
273.15,310.2333333,2.5,10,400055.2854,422403.9407,429853.4925,237523.5658,162531.7196,29798.20706,5.454412718,320263.4909,939376.7559
273.15,310.2333333,5,0,401492.2905,422003.7681,428840.9274,252076.0055,149416.2849,27348.63689,5.463390571,349658.6079,939376.7559
273.15,310.2333333,5,2.5,401492.2905,422003.7681,428840.9274,248395.2702,153097.0203,27348.63689,5.597976267,349658.6079,939376.7559
